"ID","Literature_ID","Nodes_ID","Edges_ID","Pertains_To","Pages"
"360","6","5427",NULL,"staple","127"
"362","38","440",NULL,,"49"
"364","38","442",NULL,,"50"
"366","6","2313",NULL,"staple","129"
"368","6","2602",NULL,"staple","130"
"370","6","4625",NULL,"staple","130"
"372","38","448",NULL,,"50"
"374","6","928",NULL,"staple","132 n 3"
"376","48","454",NULL,,"82"
"378","6","579",NULL,"tolls","30"
"380","6","7281",NULL,"staple","132 n 3"
"382","62","103",NULL,,"8"
"388","6","4337",NULL,"staple","133-136, 199-202"
"390","62","105",NULL,,"6"
"392","38","106",NULL,,"21"
"394","38","464",NULL,,"51"
"396","4","110",NULL,,"p., 744"
"398","38","473",NULL,,"52"
"400","38","476",NULL,,"52"
"402","38","112",NULL,,"23"
"404","38","479",NULL,,"52"
"406","64","114",NULL,,"p., 27"
"408","28","8000",NULL,"staple","647"
"410","6","8000",NULL,"staple","140"
"412","28","8000",NULL,,"647"
"414","28","6477",NULL,"staple","648"
"416","6","6477",NULL,"staple","140"
"418","6","250",NULL,"staple","141"
"420","38","115",NULL,,"23"
"424","38","482",NULL,,"52f."
"426","38","485",NULL,,"53"
"428","38","120",NULL,,"p.,23"
"430","38","494",NULL,,"54"
"432","38","500",NULL,,"54"
"434","38","503",NULL,,"54"
"436","6","1790",NULL,"staple","152-155, 194-195, 228"
"438","38","517",NULL,,"55"
"440","6","2456",NULL,"staple","152-154"
"442","38","523",NULL,,"55"
"444","6","4958",NULL,"staple","156, 195, 223-224"
"446","38","526",NULL,,"55f."
"448","6","18",NULL,"staple","157-159"
"450","6","3580",NULL,"staple","158"
"452","38","544",NULL,,"56"
"454","38","122",NULL,,"24"
"456","38","124",NULL,,"24"
"458","38","563",NULL,,"58"
"460","38","568",NULL,,"214"
"464","66","130",NULL,,"p. 26"
"466","38","577",NULL,,"58"
"470","38","580",NULL,,"59"
"474","6","4653",NULL,"staple","162-165"
"478","6","6226",NULL,"staple","174"
"480","6","7612",NULL,"staple","174"
"482","6","3911",NULL,"staple","174-178, 207-210"
"484","6","7722",NULL,"staple","176-177"
"486","6","7722",NULL,,"176-177"
"488","6","4871",NULL,"staple","177-178"
"490","6","4000",NULL,"staple","178"
"492","6","1537",NULL,"staple","179"
"494","38","594",NULL,,"61"
"496","38","598",NULL,,"61"
"498","48","376",NULL,,"78"
"500","38","132",NULL,,"p.,24"
"502","68","379",NULL,,"14"
"504","62","411",NULL,,"29"
"506","68","414",NULL,,"15"
"508","38","140",NULL,,"p., 25"
"510","70","11",NULL,,"37-38"
"512","68","450",NULL,,"19-20"
"514","38","144",NULL,,"p., 25"
"516","38","147",NULL,,"p. 26"
"518","72","451",NULL,,"43"
"520","6","1826",NULL,"staple","134-135, 200"
"522","64","492",NULL,,"52f."
"524","6","8901",NULL,"staple","138-139"
"526","6","8903",NULL,,"139"
"528","38","162",NULL,,"465"
"530","48","512",NULL,,"85-86"
"532","6","258",NULL,"staple","206"
"534","74","516",NULL,,"45"
"536","74","539",NULL,,"48f."
"540","4","2999",NULL,,"330"
"542","38","170",NULL,,"688"
"544","4","2053",NULL,"tolls","330"
"546","4","8913",NULL,,"330"
"548","76","2999",NULL,,"74"
"552","30","2999",NULL,,"82"
"554","66","173",NULL,,"p. 44"
"558","80","3240",NULL,,"205-206"
"562","82","8913",NULL,,
"564","80","886",NULL,,"65"
"566","4","8914",NULL,,"440"
"568","82","8914",NULL,,
"570","84","3240",NULL,,"396-408"
"572","38","3240",NULL,,"280"
"576","38","178",NULL,,"p. 27"
"578","38","179",NULL,,"p. 52"
"580","86","886",NULL,,"626-628"
"584","38","180",NULL,,"p. 28"
"588","88","3240",NULL,"fairs","224-225"
"590","90","3240",NULL,"fairs","431, 436"
"594","88","8915",NULL,,"49-51"
"596","78","8915",NULL,,"157"
"598","84","8915",NULL,,"160-161"
"600","84","8915",NULL,"tolls","160 n. 30"
"602","62","578",NULL,,"43"
"604","74","605",NULL,,"63-64"
"610","74","624",NULL,,"65f."
"614","66","184",NULL,,"p. 30"
"616","38","626",NULL,,"62"
"618","96","629",NULL,,"36-37"
"620","38","186",NULL,,"p. 28"
"622","38","188",NULL,,"108"
"626","74","193",NULL,,"p. 189 f."
"628","38","197",NULL,,"p. 29"
"634","74","200",NULL,,"p. 383"
"640","72","210",NULL,,"30"
"642","38","647",NULL,,"65"
"644","38","648",NULL,,"65"
"646","38","652",NULL,,"65f."
"648","76","58",NULL,,"119"
"650","38","671",NULL,,"67"
"654","118","617",NULL,,"34-35"
"658","48","677",NULL,,"96"
"660","38","679",NULL,,"68"
"662","38","670",NULL,,"67"
"664","38","7973",NULL,,"650"
"666","60","7973",NULL,,"360"
"668","70","56",NULL,,"53f."
"672","122","7973",NULL,"fairs","65"
"674","122","7973",NULL,,
"680","124","7973",NULL,,
"682","126","2999",NULL,"tolls",
"686","126","8916",NULL,"tolls",
"690","96","4280",NULL,,"140-141"
"694","126","3175",NULL,"tolls",
"696","96","3175",NULL,,"119-122"
"698","38","3175",NULL,,"273"
"702","72","8917",NULL,,"60-61"
"704","134","8917",NULL,"tolls","53-54"
"706","136","8917",NULL,"tolls","66"
"708","136","8917",NULL,"fairs","46, 52"
"710","136","8917",NULL,,"21-73"
"712","60","3175",NULL,"tolls","204"
"714","138","3175",NULL,"tolls","113"
"716","60","3175",NULL,"fairs","203"
"718","96","7837",NULL,,"199-200"
"720","96","4638",NULL,,"150-151"
"722","96","5188",NULL,,"161-162"
"724","96","242",NULL,,"27-29"
"726","96","7324",NULL,,"191-192"
"728","140","7324",NULL,,"75-77"
"730","140","3175",NULL,,"65-69"
"732","140","1856",NULL,"tolls","78"
"734","140","1856",NULL,,"78-80"
"736","96","1856",NULL,,"81-82"
"738","76","1856",NULL,"tolls","104"
"740","76","4484",NULL,"tolls","104"
"742","96","4484",NULL,,"145-146"
"744","96","8394",NULL,,"218-219"
"746","142","8394",NULL,,"37"
"748","76","8394",NULL,"tolls","104"
"750","120","58",NULL,,"Nr. 478/B3"
"752","144","58",NULL,,"117"
"754","146","7973",NULL,"fairs","127-133"
"760","140","771",NULL,,"70-74"
"762","126","771",NULL,"tolls",
"764","76","771",NULL,"tolls","104"
"766","38","690",NULL,,"69"
"768","148","691",NULL,,"54"
"770","38","695",NULL,,"70"
"772","38","698",NULL,,"71"
"774","62","702",NULL,,"48"
"776","96","8920",NULL,,"173-174"
"778","142","8920",NULL,,"32-34"
"780","126","8920",NULL,"tolls",
"782","30","771",NULL,,"83"
"786","150","771",NULL,"tolls","89-90"
"790","62","235",NULL,,"12"
"792","126","8921",NULL,"tolls",
"794","126","8922",NULL,"tolls",
"796","38","241",NULL,,"32"
"798","96","245",NULL,,"29"
"800","4","247",NULL,,"p. 343"
"802","74","249",NULL,,"p. 27"
"804","38","253",NULL,,"p. 33"
"806","38","255",NULL,,"p. 33"
